"Path","Length","LastWriteTime"
".env.local","159","08/07/2026 12:41:29"
".gitignore","480","08/07/2026 12:16:23"
"AGENTS.md","327","08/07/2026 12:29:26"
"app\favicon.ico","25931","08/07/2026 12:16:23"
"app\globals.css","488","08/07/2026 12:16:23"
"app\layout.tsx","719","08/07/2026 12:16:23"
"app\page.tsx","2882","08/07/2026 12:16:23"
"CLAUDE.md","11","08/07/2026 12:29:26"
"docs\00_Project\DOC-000_Documentation_Index.md","7557","07/07/2026 08:40:27"
"docs\00_Project\DOC-002 – Documentation_Style_Guide.md","5981","07/07/2026 08:43:20"
"docs\01_Core\ADR-800–What-Is-STM.md","4085","07/07/2026 09:14:13"
"docs\01_Core\SPEC-100 Foundation.md","7663","07/07/2026 08:46:22"
"docs\01_Core\SPEC-200–Core-Data-Model.md","4036","07/07/2026 17:24:51"
"docs\01_Core\SPEC-201-Competition-Workflow.md","3744","07/07/2026 17:34:46"
"docs\01_Core\SPEC-202-UI-Navigation.md","3365","07/07/2026 17:41:39"
"docs\02_Reference\REF-700_Product_Glossary.md","3600","07/07/2026 09:25:10"
"docs\pass.txt","922","08/07/2026 12:37:22"
"docs\README.md","3737","07/07/2026 08:21:16"
"eslint.config.mjs","465","08/07/2026 12:16:23"
"export-project-inventory.ps1","1201","08/07/2026 15:01:33"
"next.config.ts","133","08/07/2026 12:16:23"
"next-env.d.ts","247","08/07/2026 12:16:23"
"package.json","805","08/07/2026 12:38:55"
"package-lock.json","265308","08/07/2026 12:39:16"
"postcss.config.mjs","94","08/07/2026 12:16:23"
"public\file.svg","391","08/07/2026 12:16:23"
"public\globe.svg","1035","08/07/2026 12:16:23"
"public\next.svg","1375","08/07/2026 12:16:23"
"public\vercel.svg","128","08/07/2026 12:16:23"
"public\window.svg","385","08/07/2026 12:16:23"
"README.md","1450","08/07/2026 12:16:23"
"tsconfig.json","666","08/07/2026 12:28:31"
